City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
69,mulege,26.8833,-111.9833,300.45,32,0,3.18,MX,1682638831
70,bredasdorp,-34.5322,20.0403,286.25,87,3,1.89,ZA,1682638832
71,chapada dos guimaraes,-15.4606,-55.7497,294.96,77,5,1.1,BR,1682638833
72,talnakh,69.4865,88.3972,261.86,95,85,1.39,RU,1682638833
73,mount isa,-20.7333,139.5,298.02,47,46,2.57,AU,1682638834
74,qaanaaq,77.484,-69.3632,258.7,68,91,1.88,GL,1682638834
75,airai,-8.9266,125.4092,292.74,79,92,1.43,TL,1682638835
76,narsaq,60.9167,-46.05,279.27,81,7,3.41,GL,1682638836
77,upata,8.0086,-62.3989,300.48,80,65,1.85,VE,1682638836
78,kalmunai,7.4167,81.8167,299.19,85,69,2.12,LK,1682638837
79,avarua,-21.2078,-159.775,300.18,65,20,3.6,CK,1682638838
80,bluff,-46.6,168.3333,284.71,78,74,2.0,NZ,1682638838
81,cabedelo,-6.9811,-34.8339,300.52,83,37,3.1,BR,1682638839
82,ban nahin,18.2418,104.2122,300.65,58,0,0.48,LA,1682638840
83,hay river,60.8156,-115.7999,288.13,23,75,8.23,CA,1682638750
84,hami,42.8,93.45,282.41,14,6,4.73,CN,1682638825
85,vila franca do campo,37.7167,-25.4333,290.38,90,100,5.68,PT,1682638841
86,chokurdakh,70.6333,147.9167,271.96,87,100,2.18,RU,1682638843
87,saint-augustin,51.226,-58.6502,278.37,81,83,2.94,CA,1682638843
88,fort nelson,58.8053,-122.7002,289.79,24,75,6.69,CA,1682638774
89,revelstoke,50.9832,-118.2023,291.16,20,100,2.06,CA,1682638845
90,dikson,73.5069,80.5464,260.92,97,96,6.11,RU,1682638846
91,kaitangata,-46.2817,169.8464,283.67,98,13,0.46,NZ,1682638846
92,coihaique,-45.5752,-72.0662,282.49,87,100,2.06,CL,1682638847
93,tuktoyaktuk,69.4541,-133.0374,264.15,73,100,2.57,CA,1682638848
94,visnes,59.3556,5.2242,276.05,86,33,1.03,NO,1682638848
95,fougeres,48.35,-1.2,288.07,98,100,5.48,FR,1682638849
96,cockburn town,21.4612,-71.1419,298.84,74,88,5.14,TC,1682638725
97,tasiilaq,65.6145,-37.6368,270.24,92,97,0.61,GL,1682638851
98,hobart,-42.8794,147.3294,293.29,64,75,7.72,AU,1682638700
99,cidreira,-30.1811,-50.2056,291.47,79,1,2.02,BR,1682638852
100,maragogi,-9.0122,-35.2225,298.48,86,92,2.32,BR,1682638727
101,chuy,-33.6971,-53.4616,288.65,89,13,2.2,UY,1682638854
102,soyo,-6.1349,12.3689,300.16,86,99,1.77,AO,1682638854
103,kurdzhinovo,43.9884,40.9552,283.67,82,94,2.58,RU,1682638855
104,thompson,55.7435,-97.8558,278.24,45,20,4.12,CA,1682638856
105,vostok,46.4856,135.8833,280.91,46,100,1.3,RU,1682638857
106,bethel,41.3712,-73.414,285.02,82,74,1.63,US,1682638722
107,broome,42.2506,-75.833,287.36,44,0,2.57,US,1682638858
108,mahebourg,-20.4081,57.7,297.18,94,40,1.54,MU,1682638858
109,kodiak,57.79,-152.4072,278.88,75,100,4.63,US,1682638859
110,gouyave,12.1646,-61.7296,299.58,89,40,7.2,GD,1682638860
111,barranca,-10.75,-77.7667,296.45,81,50,3.66,PE,1682638860
112,vanderhoof,54.0166,-124.0198,285.0,45,99,3.57,CA,1682638815
113,hasaki,35.7333,140.8333,292.37,65,25,8.23,JP,1682638861
114,jamestown,42.097,-79.2353,286.95,44,0,4.63,US,1682638693
115,touros,-5.1989,-35.4608,298.76,89,100,3.07,BR,1682638864
116,hermanus,-34.4187,19.2345,288.54,83,14,4.61,ZA,1682638864
117,naron,43.5167,-8.1528,288.72,75,100,1.44,ES,1682638865
118,surt,31.2089,16.5887,290.38,76,7,4.97,LY,1682638866
119,atuona,-9.8,-139.0333,300.95,72,19,4.08,PF,1682638867
120,novyy urengoy,66.0833,76.6333,266.35,95,100,7.47,RU,1682638867
121,kathu,7.9178,98.3332,299.05,77,99,2.28,TH,1682638868
122,samana,19.2056,-69.3369,300.13,81,49,2.06,DO,1682638868
123,comodoro rivadavia,-45.8667,-67.5,288.07,33,0,2.57,AR,1682638576
124,natal,-5.795,-35.2094,300.51,83,20,2.57,BR,1682638870
125,cabo san lucas,22.8909,-109.9124,301.82,47,0,6.69,MX,1682638654
126,asau,46.4333,26.4,276.66,82,38,2.55,RO,1682638871
